# Seed Dhivehi wordlist: word <TAB> frequency. Extend freely (one word per line).
# Function words / pronouns / particles
މި	1000
އެ	1000
ތި	800
އަދި	1000
ވެސް	1000
ނޫން	800
ނޫނީ	500
ނުވަތަ	500
އެކަމަކު	500
އަހަރެން	800
އަހަރެމެން	500
ކަލޭ	300
އޭނާ	500
ކޮން	500
ކާކު	300
ކޮބާ	300
ކޮންތާކު	200
ކީއްވެ	300
ކިހިނެއް	300
ކޯއްޗެއް	200
ވަރަށް	800
ބަރާބަރު	200
އާދެ	300
ލައްބަ	200
# Numbers
އެއް	600
ދެ	600
ތިން	500
ހަތަރު	400
ފަސް	400
ހަ	400
ހަތް	400
އަށް	400
ނުވަ	400
ދިހަ	400
# People & family
މީހާ	500
މީހުން	500
ކުއްޖާ	400
ކުދިން	400
މަންމަ	500
ބައްޕަ	500
ދައްތަ	300
ބޭބެ	300
ކޮއްކޮ	300
ކާފަ	200
މާމަ	200
ފިރިހެން	300
އަންހެން	300
ޓީޗަރު	200
ދަރިވަރު	200
ޑޮކްޓަރު	200
ރައީސް	300
ވަޒީރު	200
ރައްޔިތުން	300
# Body
ބޯ	200
ލޯ	200
ކަންފަތް	150
ނޭފަތް	150
އަނގަ	150
ދަތް	150
އަތް	200
ފައި	200
ހިތް	200
ބަނޑު	150
އިސްތަށި	100
# Nature & time
އިރު	300
ހަނދު	200
ތަރި	150
އުޑު	150
ވާރޭ	200
ވައި	200
މޫދު	200
ކަނޑު	300
ރަށް	500
އަތޮޅު	300
ފަރު	150
ވެލި	150
ގަސް	200
މާ	200
ފަތް	150
ދޫނި	150
ބުޅާ	150
ކުކުޅު	150
މަސް	400
މިއަދު	500
މާދަމާ	400
އިއްޔެ	400
މިރޭ	300
ދުވަސް	400
ރޭގަނޑު	300
ހެނދުނު	300
މެންދުރު	250
ހަވީރު	250
ގަޑި	300
މިނެޓު	200
ސިކުންތު	150
ހަފްތާ	200
އަހަރު	300
# Weekdays
ހުކުރު	250
ހޮނިހިރު	200
އާދީއްތަ	200
ހޯމަ	200
އަންގާރަ	200
ބުދަ	200
ބުރާސްފަތި	200
# Food & drink
ފެން	300
ކާނާ	200
ބަތް	250
ރޮށި	200
ގަރުދިޔަ	150
ހެދިކާ	150
ސައި	250
ކިރު	200
ހަކުރު	200
ލޮނު	150
މިރުސް	150
ދޮންކެޔޮ	150
ކުރުނބާ	150
ކާށި	150
އަނބު	150
ފަޅޯ	100
# Adjectives & colors
ރަނގަޅު	500
ގޯސް	300
ބޮޑު	500
ކުޑަ	400
ދިގު	250
ކުރު	200
ހޫނު	200
ފިނި	200
ރީތި	300
ހުދު	150
ކަޅު	150
ރަތް	150
ނޫ	150
ފެހި	150
ރީނދޫ	120
# Verbs (infinitive)
ދާން	300
އަންނަން	300
ކާން	300
ބޯން	250
ނިދަން	250
ކިޔަން	250
ލިޔަން	250
ބަލަން	250
ކިޔަވަން	250
ދަސްކުރަން	200
ހިނގަން	200
ދުވަން	200
ފަތަން	200
# Places & objects
ގެ	600
މަގު	300
ފިހާރަ	250
މިސްކިތް	300
ސްކޫލް	300
މަދަރުސާ	200
ހޮސްޕިޓަލް	200
އޮފީސް	250
ބަނދަރު	200
މާލެ	400
ދޯނި	300
ފޮތް	300
ގަލަން	150
ފަންސުރު	120
މޭޒު	150
ގޮނޑި	150
ދޮރު	150
ފާރު	120
އެނދު	150
ހެދުން	200
ބޯޅަ	150
ފުޓްބޯޅަ	150
# Society, religion, abstract
ދިވެހި	500
ދިވެހިރާއްޖެ	400
ރާއްޖެ	500
ދިވެހިބަސް	250
ތާނަ	200
ބަސް	300
އަކުރު	150
ފިލި	150
ޖުމްލަ	150
ލަފުޒު	150
ނަން	300
ނަންބަރު	200
ވާހަކަ	300
ލަވަ	150
ފިލްމު	150
ކުޅިވަރު	150
މަސައްކަތް	300
ވަޒީފާ	200
ފައިސާ	300
ރުފިޔާ	250
ލާރި	200
ސަރުކާރު	300
ޤާނޫނު	200
މަޖިލިސް	200
ޤައުމު	250
ދުނިޔެ	300
ދީން	250
އިސްލާމް	250
ނަމާދު	300
ރޯދަ	250
ޢީދު	200
ޤުރުއާން	250
ތާރީޚު	150
ޚަބަރު	250
މައުލޫމާތު	200
ސުވާލު	200
ޖަވާބު	200
ސަލާމް	250
ޝުކުރިއްޔާ	300
މަރުޙަބާ	200
މާފު	200
ލޯބި	300
އުފާ	250
ހިތާމަ	200
ބިރު	200
ރުޅި	200
# Tech
ކޮމްޕިއުޓަރު	150
ފޯނު	250
އިންޓަނެޓް	200
